Price,Close,High,Low,Open,Volume
Ticker,IUKP.L,IUKP.L,IUKP.L,IUKP.L,IUKP.L
Date,,,,,
2011-07-04,455.38433837890625,456.6297829433452,448.65893773093603,448.65893773093603,583260
2011-07-05,455.3345031738281,459.9177449544427,454.3381475870145,454.3381475870145,142173
2011-07-06,454.28826904296875,456.17136498844474,453.4114714023082,453.64061369042093,483769
2011-07-07,444.42425537109375,452.345291918551,444.47409137833074,452.345291918551,182670
2011-07-08,442.8799133300781,455.3044646458283,442.26217793353123,444.8726238512483,195287
2011-07-11,434.1122131347656,442.820352673715,432.7571535012798,442.38195371050176,212359
2011-07-12,433.6139221191406,455.13517641322477,427.6357891693714,427.6357891693714,1031531
2011-07-13,440.68798828125,443.3781600666681,432.0197144069052,432.0197144069052,215813
2011-07-14,439.89093017578125,442.45157097399,437.49968318248403,439.7912885497365,142136
2011-07-15,439.9906005859375,443.4778448811511,436.30407302559735,436.30407302559735,127065
2011-07-18,436.70263671875,442.0152053787674,435.95537003688605,438.1971700824779,72526
2011-07-19,436.9020690917969,437.4002470497123,435.30789354519374,435.90571317596607,295903
2011-07-20,441.03680419921875,443.4778876035728,438.1075162765379,439.8910013302534,540762
2011-07-21,438.8945617675781,440.9869142273097,435.9054955126344,440.0902004320974,179632
2011-07-22,440.0404052734375,443.57748558067124,439.1138019458984,441.684385785023,292329
2011-07-25,443.32843017578125,444.3068460097637,437.3004606363591,437.3004606363591,247320
2011-07-26,439.54217529296875,447.0307736655066,437.10112282530656,445.47050204051914,342676
2011-07-27,432.91650390625,435.9055706766039,430.8042349202175,431.72086503556466,225050
2011-07-28,431.0234375,432.4183292550346,429.52890410395725,430.7245125769756,818634
2011-07-29,427.2871398925781,429.5488563422342,425.0054768692295,427.43658716346073,279212
2011-08-01,430.6247863769531,434.0123884223117,426.93825948837514,433.4145691422245,492296
2011-08-02,425.64312744140625,430.8441049258153,425.64312744140625,430.62490547603716,247692
2011-08-03,416.9747009277344,424.8259857050816,416.87505931458173,421.8568359087004,254256
2011-08-04,398.5920104980469,420.98012007371483,393.5604273239169,419.9638483975467,326866
2011-08-05,384.3441162109375,396.49966490691696,383.7961328740214,392.2651542292851,983880
2011-08-08,362.7729797363281,383.79608316481546,362.7729797363281,382.30155017804645,2228306
2011-08-09,378.6150817871094,380.60779274388364,350.0595301277715,380.60779274388364,1505102
2011-08-10,370.843505859375,383.17836062960805,368.1533340166035,380.6077769806293,736310
2011-08-11,384.9917297363281,390.5713261917671,367.3562569760738,383.59683822405697,998317
2011-08-12,392.5639953613281,395.2541668829437,378.3161264739524,379.11319856595264,2622609
2011-08-15,397.7949523925781,399.4389329649013,392.2651912657568,398.9407551910847,308075
2011-08-16,391.517822265625,394.4570521190386,387.18367068505876,394.4570521190386,263841
2011-08-17,391.71728515625,394.4572636654785,388.0805924889109,389.4754845577903,991131
2011-08-18,374.57977294921875,390.37197952843184,375.4266505969245,386.88473611108014,329623
2011-08-19,368.2529602050781,373.63327325873314,362.3744694537448,370.6442070726633,415915
2011-08-22,371.4412536621094,378.3161297419923,366.16058259270085,366.16058259270085,590234
2011-08-23,371.29193115234375,377.0209762055929,370.24576987038205,376.72208166970717,164283
2011-08-24,374.1812744140625,378.2165322015721,362.77302283680746,373.6332910830161,83596
2011-08-25,369.199462890625,378.0172138220385,367.25658820135396,378.0172138220385,132923
2011-08-26,366.4595031738281,369.90691474303094,363.17154252340055,366.6587864159435,187174
2011-08-30,378.8144226074219,376.9133561192163,358.6880267231876,358.6880267231876,53207
2011-08-31,380.508056640625,382.9909782548107,373.6332116279406,374.1313892434445,2249289
2011-09-01,380.65771484375,384.2944377778542,378.9140922229909,380.60790921713163,1392049
2011-09-02,375.4765625,380.6077870557368,372.8362266030049,380.1096093239885,123953
2011-09-05,367.75482177734375,373.3543348321639,365.9414474666324,370.24571053171974,115895
2011-09-06,368.4024658203125,372.73661855829374,365.86177132202613,369.1497324852624,322715
2011-09-07,377.22021484375,378.515464887734,370.2457260393724,371.24208158285495,258856
2011-09-08,377.56903076171875,384.5933267694437,375.6261248499489,375.6261248499489,114626
2011-09-09,371.24200439453125,379.59642321326487,368.65147443882586,378.2164917487793,119591
2011-09-12,365.36370849609375,366.7586006282561,360.9797183573435,360.9797183573435,33145
2011-09-13,360.5811767578125,366.75859520276447,358.22480489786824,366.75859520276447,95444
2011-09-14,358.9370422363281,360.4813809841716,355.69888710164923,355.69888710164923,185404
2011-09-15,365.7122497558594,366.8580828296318,358.37410171711747,363.2711971872487,47617
2011-09-16,370.1461181640625,374.7293601633823,369.14976252970433,372.935901777721,223414
2011-09-19,363.6697082519531,366.0609550468598,361.5773559040275,365.46313574654494,291601
2011-09-20,369.0999450683594,371.14246189071736,363.7694365142945,363.7694365142945,374070
2011-09-21,367.75482177734375,371.1424244020238,366.95771913212934,369.64789114939816,100051
2011-09-22,350.8167724609375,358.1897969710026,349.2225976031611,358.1897969710026,113043
2011-09-23,342.9953918457031,354.40367484813964,341.35141129939177,350.71714721768336,294219
2011-09-26,346.1339111328125,349.0233361393959,342.1484889426676,344.73901944753345,2339823
2011-09-27,357.24322509765625,358.68795262493734,350.7171092332721,350.7171092332721,397590
2011-09-28,353.6065979003906,357.99055647823195,351.21535053123716,356.1971285529568,230621
2011-09-29,352.8094482421875,353.00870107556324,349.94492650761356,352.21162892935354,78933
2011-09-30,348.22625732421875,354.3887138374907,346.5324407626738,352.90914047223777,137161
2011-10-03,341.5506591796875,345.4264967371698,341.35140632003504,342.74629796303174,31088
2011-10-04,333.480224609375,338.7608970179941,331.08894689357237,337.7645414385295,1669997
2011-10-05,344.4899597167969,342.24815954510404,335.0743868331427,335.67220629353295,134923
2011-10-06,363.0221862792969,362.47417242930766,348.9237599472247,348.9237599472247,71285
2011-10-07,364.9151611328125,366.2602469889072,362.77300312825236,364.6660722856229,35519
2011-10-10,366.6090393066406,367.65520047879295,348.72444489858407,348.72444489858407,37727
2011-10-11,366.26019287109375,367.65508412797885,362.3744135103605,364.16784078259155,101602
2011-10-12,375.8253479003906,375.8253479003906,364.5615246311212,370.64428657072887,184191
2011-10-13,370.6940002441406,378.6748164232462,369.5481976591897,378.6150375340385,24144
2011-10-14,377.0210266113281,378.11702406670764,371.04289184347505,373.63342299081785,136377
2011-10-17,376.4231262207031,382.3514540883297,375.1278761283548,381.60418740281506,95034
2011-10-18,368.50213623046875,374.80905399630814,367.55558621841317,374.6297172802431,76150
2011-10-19,370.1461181640625,371.78015599946315,367.39717029310856,370.6442959812416,82491
2011-10-20,358.33917236328125,366.6587450788124,358.9867972176124,364.1678568649618,154595
2011-10-21,368.3026428222656,369.74736982562575,361.6868610176587,363.7692394498075,772730
2011-10-24,374.9783630371094,376.32344891614923,368.6515001292953,369.5482139132039,94878
2011-10-25,364.71588134765625,373.63327432406544,364.8653589824689,372.6369189258679,77663
2011-10-26,357.24322509765625,363.66972974472816,355.5524189434802,363.66972974472816,34218
2011-10-27,372.2882385253906,373.0753679096091,369.6479024463313,369.6479024463313,134616
2011-10-28,376.223876953125,377.5191270578836,373.63334633724816,375.6260575177135,18055
2011-10-31,371.0925598144531,376.821603039043,370.5445461317681,375.2274284083215,402984
2011-11-01,358.68792724609375,366.35987563028726,354.104686538901,366.35987563028726,151738
2011-11-02,362.7231750488281,364.3671858013218,356.5159003011573,361.1788363250145,96423
2011-11-03,366.01123046875,366.55921387831216,357.59201360748784,361.4777943102398,98097
2011-11-04,368.00384521484375,370.76373851764345,365.7719886114659,367.6551147699705,43671
2011-11-07,361.77667236328125,366.5870794266305,360.48139202592176,364.16791937778765,32824
2011-11-08,370.992919921875,372.73654178093517,367.31636625511993,367.65512342468935,81750
2011-11-09,363.2212829589844,370.1459638942423,363.1714773605689,370.1459638942423,38027
2011-11-10,360.7802734375,366.1506128900747,358.9868155879413,360.18245415431375,86033
2011-11-11,368.2529602050781,369.28118145902647,358.57933083326014,363.4704360635542,120991
2011-11-14,364.96502685546875,368.3526600603296,363.96867130259403,365.86177117814276,597454
2011-11-15,363.9189147949219,366.1607150913998,360.7804004611252,361.976009042096,59517
2011-11-16,361.3780822753906,366.4594700197213,358.9868052117633,366.3598588140293,207730
2011-11-17,350.7171936035156,362.67346156727183,351.8729698221088,362.67346156727183,115155
2011-11-18,348.72442626953125,351.71349278041293,347.84762856132215,351.71349278041293,176420
2011-11-21,337.565185546875,345.33677563877825,337.565185546875,345.33677563877825,593952
2011-11-22,340.3551025390625,343.7427057316674,339.64769852800475,340.75363872530505,115114
2011-11-23,336.46929931640625,341.95919801295025,338.76090504090365,340.8532578886048,43238
2011-11-24,334.5263977050781,339.46831304123674,331.2782686704455,336.4693033166912,57662
2011-11-25,335.07427978515625,336.7680959807359,331.31803119934983,327.9005397713891,119562
2011-11-28,346.6818542480469,346.53237662130454,335.9710342956997,335.9710342956997,835389
2011-11-29,350.468017578125,351.51417860238365,347.6483451296399,350.51782318638334,71524
2011-11-30,360.3320007324219,364.167975917061,347.3295721679683,347.3295721679683,180539
2011-12-01,361.9261779785156,364.1909045131399,358.3791544134924,360.5810918139098,178740
2011-12-02,362.0256652832031,365.4630724535867,359.5845828989915,365.4630724535867,43096
2011-12-05,358.4389953613281,363.37793174085465,359.98333467288904,361.27861544337895,48415
2011-12-06,359.1861877441406,358.2994166800388,354.99153925264295,357.6916543693384,67603
2011-12-07,359.6843566894531,363.6697789242393,353.1084039207842,362.47414009126,168033
2011-12-08,348.22625732421875,357.7842830199381,347.63841121097516,356.5956376850744,48143
2011-12-09,349.0233154296875,351.53612713373445,346.73170996887256,349.92005969434734,195051
2011-12-12,340.1059875488281,347.42920723427915,341.0724536897157,347.42920723427915,61976
2011-12-13,341.2516784667969,342.8259064076455,340.10587599263084,340.10587599263084,307167
2011-12-14,331.73663330078125,339.2591064651434,330.3417110342784,336.7682172840484,231402
2011-12-15,337.116943359375,336.5490133361248,330.39154266001873,331.78643450157585,71562
2011-12-16,334.7754821777344,339.05979910258407,331.7864153725761,338.7609045846122,462507
2011-12-19,331.3380126953125,335.77180687745374,329.79367381732106,334.2772736124206,196840
2011-12-20,335.7219543457031,337.0670097711692,330.0925221757333,330.0925221757333,87112
2011-12-21,334.3271179199219,341.2119389397769,331.98570652546397,339.5579849529511,193400
2011-12-22,337.51544189453125,339.35870573965497,334.31714909914126,335.771819685482,177700
2011-12-23,339.557861328125,341.2516774370678,337.565150802945,341.2516774370678,44138
2011-12-28,338.9102783203125,342.90567314648064,339.42840258087494,342.74625263602707,176852
2011-12-29,341.0027160644531,341.3514466179607,337.86420189560687,338.16309642355,99167
2011-12-30,345.5360412597656,345.8349661241854,340.8531891140599,340.8531891140599,15866
2012-01-03,348.1265869140625,350.51783390431063,345.15746714366014,349.72076170967966,169907
2012-01-04,344.2408142089844,352.61019405927755,342.4473865290487,350.9164080074173,281853
2012-01-05,344.589599609375,348.1266499219638,342.8459772624784,346.63211648176673,373510
2012-01-06,339.2590026855469,347.7280233105899,337.7644696340687,340.75353573702506,162240
2012-01-09,339.00994873046875,344.2268584315815,337.6648627644477,337.6648627644477,198646
2012-01-10,347.2300109863281,347.8278305728865,340.65405634692047,341.75005385454966,81669
2012-01-11,344.0415954589844,347.15025064347657,342.84598691697494,345.33687605411313,114969
2012-01-12,349.8204650878906,350.41828454257194,345.864932050912,347.229934388512,130827
2012-01-13,346.2336120605469,351.9925468952563,343.7427227651473,351.71356851042606,574714
2012-01-16,348.37567138671875,347.92732968527037,345.5360523187932,345.73533556811793,56587
2012-01-17,350.41815185546875,352.70975675660196,342.7462043058505,342.7462043058505,64564
2012-01-18,351.21527099609375,355.35013973647926,348.84394032974194,350.2189156173814,126418
2012-01-19,363.370849609375,363.11975392408726,351.1156591676015,355.9977948562494,65384
2012-01-20,367.4060974121094,367.65518629171083,364.2675836104028,364.66611973649367,217280
2012-01-23,368.2529602050781,370.4768200959959,366.4296128040175,369.05003235882197,91287
2012-01-24,363.3210754394531,366.5592312462332,360.6807390936584,366.5592312462332,82183
2012-01-25,363.2712097167969,365.5628151306717,362.2748542487894,362.9722848325811,143209
2012-01-26,369.3988342285156,369.94681763933846,365.66250077374303,365.66250077374303,690395
2012-01-27,367.75482177734375,370.14606890027335,365.76211077384295,365.76211077384295,148883
2012-01-30,361.577392578125,365.86173932630714,360.6806787398771,364.8653838601749,1296437
2012-01-31,360.2822570800781,364.4669331233025,360.9896611719627,364.4669331233025,79656
2012-02-01,366.55914306640625,367.65514008016527,362.5836947776864,363.37082405207065,39501
2012-02-02,366.6587829589844,371.6405599013619,365.8617108107453,368.55185211581716,268037
2012-02-03,371.7402038574219,374.03180910277416,362.67336368404995,362.67336368404995,181644
2012-02-06,373.3841247558594,375.6259240372488,369.2791460478421,372.13868071064303,155698
2012-02-07,371.6903991699219,374.1314822553019,371.04277419003216,374.1314822553019,146341
2012-02-08,372.38787841796875,373.11522889936145,370.9431507404931,372.0391479020583,226214
2012-02-09,372.2384338378906,372.62699668510993,369.6479033664499,371.6406144358108,71210
2012-02-10,369.5481872558594,373.33435576842504,368.6514735366352,373.33435576842504,158532
2012-02-13,373.7828063964844,374.7293564021683,372.32813569870325,373.13518132192405,71607
2012-02-14,372.5372619628906,375.32707520676536,371.59074261739494,371.74018983969927,68470
2012-02-15,371.3914794921875,375.1278122838594,370.6442129338531,371.64056834496563,134133
2012-02-16,368.3526306152344,369.099897220156,365.5628170463801,366.65881414820296,32841
2012-02-17,371.29193115234375,372.22850790660124,370.13615493631613,371.4413784202866,94650
